Pathways	Species	Taxonomic-Range
oxalate degradation I	Moorella thermoacetica	Bacteria <bacteria>
epoxypseudoisoeugenol-2-methylbutanoate biosynthesis	Anethum foeniculum // Ocimum basilicum // Pimpinella // Pimpinella anisum	asterids // Pimpinella
L-isoleucine degradation III (oxidative Stickland reaction)	Clostridioides difficile // Clostridium sporogenes // Thermococcus litoralis	Bacteria <bacteria> // Archaea
superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	Aggregatibacter actinomycetemcomitans // Anoxybacillus tepidamans // Escherichia coli // Escherichia coli O7:K1 // Saccharopolyspora spinosa // Shewanella denitrificans // Thermoanaerobacterium thermosaccharolyticum // Aneurinibacillus thermoaerophilus // Escherichia coli	Bacteria <bacteria>
oxalate degradation IV	Gelatoporia subvermispora // Hordeum vulgare // Triticum aestivum	Bacteria <bacteria> // Viridiplantae // Fungi
6-gingerol biosynthesis	Curcuma longa // Zingiber officinale	Zingiberaceae
phosphatidylserine and phosphatidylethanolamine biosynthesis I	Escherichia coli // Arabidopsis thaliana	Viridiplantae // Fungi // Bacteria <bacteria>
cyanide detoxification II	Microdochium sorghi // Stemphylium loti	Fungi
dTDP-&alpha;-D-mycaminose biosynthesis	Streptomyces fradiae // Streptomyces mycarofaciens	Streptomyces
nitrogen fixation II (flavodoxin)	Azotobacter vinelandii // Klebsiella pneumoniae	Archaea // Bacteria <bacteria>
coniferyl alcohol 9-methyl ester biosynthesis	Linum flavum // Linum nodiflorum	Viridiplantae
phosphatidylserine biosynthesis II	Homo sapiens	Mammalia
dTDP-D-desosamine biosynthesis	Micromonospora megalomicea // Saccharopolyspora erythraea // Streptomyces venezuelae	Bacteria <bacteria>
nitrogen fixation I (ferredoxin)	Clostridium pasteurianum // Methanosarcina barkeri // Nostoc sp. PCC 7120 = FACHB-418 // Rhodobacter capsulatus // Sinorhizobium meliloti // Trichormus variabilis	Archaea // Bacteria <bacteria>
kavain biosynthesis	Piper methysticum	Piper
phosphatidylserine biosynthesis I	Homo sapiens	Mammalia
dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis	Amycolatopsis orientalis	Actinobacteria
nitric oxide biosynthesis II (mammals)	Homo sapiens	Metazoa
phenylpropanoid volatiles glycoconjugation (tomato)	Solanum lycopersicum	Solanaceae // Magnoliopsida
glycine degradation (reductive Stickland reaction)	Acetoanaerobium sticklandii // Clostridioides difficile // Clostridium aceticum // Clostridium botulinum // Clostridium sporogenes // Gottschalkia purinilytica // Peptoclostridium acidaminophilum // Peptoclostridium litorale // Treponema denticola	Bacteria <bacteria>
dTDP-&beta;-L-olivose biosynthesis	Streptomyces antibioticus	Bacteria <bacteria>
nitric oxide biosynthesis III (bacteria)	Bacillus subtilis	Bacteria <bacteria>
volatile esters biosynthesis (during fruit ripening)	Actinidia chinensis // Actinidia deliciosa // Actinidia eriantha // Clarkia breweri	Viridiplantae
glycine cleavage	Escherichia coli // Gallus gallus // Homo sapiens // Pisum sativum // Pyrococcus horikoshii // Saccharomyces cerevisiae	Archaea // Eukaryota // Bacteria <bacteria>
dTDP-L-daunosamine biosynthesis	Streptomyces peucetius // Streptomyces peucetius	Streptomycetaceae
nitric oxide biosynthesis I (plants)	Arabidopsis thaliana // Solanum lycopersicum	Viridiplantae
phenylpropanoids methylation (ice plant)	Mesembryanthemum crystallinum	Viridiplantae
dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis	Actinoalloteichus cyanogriseus // Streptomyces rishiriensis // Streptomyces roseochromogenus	Actinobacteria
nitrate reduction IV (dissimilatory)	Aliivibrio fischeri	Bacteria <bacteria>
superpathway of kavalactone biosynthesis	Piper methysticum	Piper
&alpha;-tomatine degradation	Alternaria solani // Botrytis cinerea // Clavibacter michiganensis // Fusarium oxysporum f. sp. lycopersici // Fusarium solani // Fulvia fulva // Septoria lycopersici // Streptomyces scabiei	Eukaryota // Bacteria <bacteria>
partial TCA cycle (obligate autotrophs)	Acidithiobacillus thiooxidans // Cyanobium gracile // Geminocystis herdmanii // Thiobacillus thioparus	Synechococcales // Chroococcales // Proteobacteria
dTDP-<i>N</i>-acetylviosamine biosynthesis	Escherichia coli O7:K1	Bacteria <bacteria>
nitrate reduction III (dissimilatory)	Escherichia coli	Bacteria <bacteria>
avenanthramide biosynthesis	Avena sativa	Viridiplantae
theophylline degradation	Pseudomonas putida	Bacteria <bacteria>
dTDP-6-deoxy-&alpha;-D-allose biosynthesis	Micromonospora griseorubida // Streptomyces bikiniensis // Streptomyces fradiae // Streptomyces sp. KCTC 0041BP	Bacteria <bacteria>
nitrate reduction IX (dissimilatory)	Escherichia coli	Bacteria <bacteria> // Archaea
curcumin glucoside biosynthesis	Catharanthus roseus	Magnoliopsida
betanidin degradation	Beta vulgaris	Caryophyllales
TCA cycle III (animals)	Homo sapiens	Metazoa
dTDP-&alpha;-D-forosamine biosynthesis	Saccharopolyspora // Saccharopolyspora spinosa	Actinobacteria
nitrate reduction II (assimilatory)	Arabidopsis thaliana	Viridiplantae // Rhodophyta
sulfolactate degradation II	Roseovarius nubinhibens	Bacteria <bacteria>
dTDP-&beta;-L-evernitrose biosynthesis	Micromonospora carbonacea	Actinobacteria
nitrate reduction VIIIb (dissimilatory)	Escherichia coli	Bacteria <bacteria>
sulfolactate degradation I	Chromohalobacter salexigens	Bacteria <bacteria>
dTDP-&alpha;-D-olivose, dTDP-&alpha;-D-oliose and dTDP-&alpha;-D-mycarose biosynthesis	Streptomyces argillaceus	Bacteria <bacteria>
nitrate reduction VI (assimilatory)	Synechococcus elongatus	Cyanobacteria
superpathway of sulfolactate degradation	Roseovarius nubinhibens	Bacteria <bacteria>
dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis	Streptomyces ravidus	Bacteria <bacteria>
nitrate reduction V (assimilatory)	Neurospora crassa	Bacteria <bacteria> // Fungi
sulfolactate degradation III	Ruegeria pomeroyi // Roseovarius nubinhibens	Bacteria <bacteria>
TCA cycle II (plants and fungi)	Glycine max // Saccharomyces cerevisiae // Vigna radiata // Arabidopsis thaliana	Fungi // Viridiplantae
dTDP-&beta;-L-megosamine biosynthesis	Micromonospora megalomicea	Bacteria <bacteria>
nitrate reduction VIII (dissimilatory)	Escherichia coli	Bacteria <bacteria>
calystegine biosynthesis	Atropa belladonna // Datura stramonium // Hyoscyamus niger // Solanum tuberosum	Convolvulaceae // Solanaceae
dTDP-<i>N</i>-acetylthomosamine biosynthesis	Escherichia coli	Proteobacteria
<i>sn</i>-glycerol 3-phosphate anaerobic respiration	Escherichia coli	Archaea // Bacteria <bacteria>
superpathway of hyoscyamine (atropine) and scopolamine biosynthesis	Anisodus acutangulus // Atropa belladonna // Datura stramonium // Hyoscyamus albus // Hyoscyamus niger	Solanaceae
TCA cycle VII (acetate-producers)	Acetobacter aceti // Geobacter sulfurreducens	Bacteria <bacteria>
dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis	Thermoanaerobacterium thermosaccharolyticum	Bacteria <bacteria>
hinokiresinol biosynthesis	Asparagus officinalis // Cryptomeria japonica	Spermatophyta
tropane alkaloids biosynthesis	Anisodus acutangulus // Atropa belladonna // Datura stramonium // Hyoscyamus albus // Hyoscyamus niger	Solanaceae
dTDP-&beta;-L-rhamnose biosynthesis	Caenorhabditis elegans // Escherichia coli // Haloferax volcanii // Saccharopolyspora spinosa // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	Clostridium perfringens // Clostridium perfringens // Escherichia coli // Clostridium perfringens	Bacteria <bacteria>
colchicine biosynthesis	Colchicum autumnale	Colchicum
TCA cycle I (prokaryotic)	Azotobacter vinelandii // Bacillus subtilis // Escherichia coli	Bacteria <bacteria> // Archaea
superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis	Micromonospora megalomicea // Saccharopolyspora erythraea // Saccharopolyspora erythraea // Saccharopolyspora spinosa // Streptomyces antibioticus // Streptomyces argillaceus	Actinobacteria
<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation II	Bacteroides fragilis	Bacteroides
cocaine biosynthesis	Erythroxylum coca	Erythroxylaceae
dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	Shewanella denitrificans // Aneurinibacillus thermoaerophilus	Bacteria <bacteria>
methylamine degradation II	Pseudomonas sp. C5pp // Aminobacter aminovorans // Methylocella silvestris // Methyloversatilis universalis // Methylovorus mays	Bacteria <bacteria>
representative whole plasma arachidonate-derived icosanoids I	Homo sapiens	Mammalia
TCA cycle IV (2-oxoglutarate decarboxylase)	Euglena gracilis // Synechococcus sp. PCC 7002	Cyanobacteria // Euglenida // Proteobacteria // Actinobacteria
dTDP-&beta;-L-digitoxose biosynthesis	Actinomadura kijaniata // Streptomyces venezuelae	Bacteria <bacteria>
methylamine degradation I	Methylobacillus flagellatus // Methylorubrum extorquens // Methylobacterium organophilum // Methylomonas sp. J // Methylophaga thalassica // Methylophilus methylotrophus // Paracoccus denitrificans // Paracoccus versutus	Proteobacteria
representative whole plasma EPA-derived icosanoids	Homo sapiens	Mammalia
ubiquinol-10 biosynthesis (early decarboxylation)	Agrobacterium rhizogenes // Agrobacterium tumefaciens // Bradyrhizobium japonicum // Brucella abortus // Brucella melitensis // Gluconobacter albidus // Gluconobacter cerinus // Komagataeibacter xylinus // Paracoccus denitrificans // Rhodobacter capsulatus // Cereibacter sphaeroides // Rhodomicrobium vannielii // Rhodopseudomonas palustris // Rhodospirillum rubrum // Serratia plymuthica	Proteobacteria
methane oxidation to methanol I	Methylosinus trichosporium // Methylomonas sp. KSPIII // Methylotuvimicrobium japanense // Methylosphaera // Methylococcus capsulatus // Methylocystis minimus // Methylocystis pyriformis // Methylocystis parvus // Methylocystis echinoides	Proteobacteria
chrysoeriol biosynthesis	Oryza sativa // Chrysosplenium americanum // Glycine max	Viridiplantae
arachidonate metabolites biosynthesis	Arabidopsis thaliana // Homo sapiens // Arabidopsis thaliana	Eukaryota
TCA cycle VI (Helicobacter)	Helicobacter pylori // Helicobacter pylori	Bacteria <bacteria>
ubiquinol-10 biosynthesis (late decarboxylation)	Agrius cingulata // Amauroascus aureus // Aphanoascus verrucosus // Aspergillus cejpii // Bos taurus // Chrysosporium keratinophilum // Coccinella // Gallus gallus // Graphiola phoenicis // Neogymnomyces demonbreunii // Homo sapiens // Ipomoea batatas // Keratinophyton hispanicum // Keratinophyton saturnoideum // Keratinophyton terreum // Medicago sativa // Monascus pilosus // Monascus purpureus // Monascus ruber // Myxotrichum chartarum // Myxotrichum stipitatum // Neurospora crassa // Ovis aries // Lithobates catesbeianus // Schizosaccharomyces pombe // Solanum tuberosum // Sphinx ligustri // Spinacia oleracea // Sus scrofa // Tilletia caries // Ustilago cynodontis // Ustilago hordei // Ustilago maydis // Ustilago nuda // Ustilago sphaerogena // Ustilago syntherismae // Zea mays	Eukaryota
methane oxidation to methanol II	Candidatus Methylomirabilis oxyfera // Methylobacter marinus // Methylobacter whittenburyi // Methylococcus capsulatus // Methylococcus thermophilus // Methylocystis echinoides // Methylocystis minimus // Methylocystis parvus // Methylocystis pyriformis // Methylomicrobium agile // Methylomicrobium album // Methylotuvimicrobium pelagicum // Methylomonas aurantiaca // Methylomonas fodinarum // Methylomonas methanica // Methylosinus sporium // Methylosinus trichosporium	Bacteria <bacteria>
flavonoid biosynthesis (in equisetum)	Equisetum arvense	Viridiplantae // Equisetum
docosahexaenoate metabolites biosynthesis	Homo sapiens	Eukaryota
ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	Saccharomyces cerevisiae	Fungi
melatonin degradation II	Carassius auratus // Gallus gallus // Mesocricetus auratus // Oncorhynchus mykiss // Sceloporus jarrovii // Anolis carolinensis // Xenopus laevis // Oryctolagus cuniculus // Mus musculus // Rattus norvegicus // Homo sapiens	Vertebrata <vertebrates>
flavonoid biosynthesis	Citrus unshiu // Ginkgo biloba // Medicago sativa // Pueraria montana // Sesbania rostrata // Arabidopsis thaliana	Spermatophyta
representative whole plasma DHA-derived icosanoids	Homo sapiens	Mammalia
superpathway of ubiquinol-8 biosynthesis (early decarboxylation)	Acinetobacter calcoaceticus // Acinetobacter lwoffii // Aeromonas caviae // Aeromonas hydrophila // Allochromatium vinosum // Azotobacter chroococcum // Azotobacter vinelandii // Bordetella pertussis // Citrobacter freundii // Cupriavidus necator // Escherichia coli // Halorhodospira halophila // Klebsiella aerogenes // Proteus mirabilis // Proteus vulgaris // Rubrivivax gelatinosus // Salinivibrio costicola // Serratia marcescens // Stenotrophomonas maltophilia // Xanthomonas campestris // Xanthomonas citri // Xanthomonas oryzae	Bacteria <bacteria>
melatonin degradation I	Oryctolagus cuniculus // Mus musculus // Rattus norvegicus // Homo sapiens	Vertebrata <vertebrates>
2,3-<i>trans</i>-flavanols biosynthesis	Camellia sinensis // Desmodium uncinatum // Lotus corniculatus	Viridiplantae
di-homo-&gamma;-linolenate metabolites biosynthesis	Arabidopsis thaliana // Homo sapiens // Arabidopsis thaliana	Eukaryota
ubiquinol-9 biosynthesis (early decarboxylation)	Acetobacter aceti // Acetobacter pasteurianus // Chromohalobacter beijerinckii // Delftia acidovorans // Halomonas halmophila // Halomonas halodenitrificans // Magnetospirillum fulvum // Magnetospirillum molischianum // Pseudomonas aeruginosa // Pseudomonas fluorescens // Pseudomonas fragi // Pseudomonas putida // Rhodospirillum rubrum // Rubrivivax gelatinosus // Stenotrophomonas geniculata	Bacteria <bacteria>
superpathway of melatonin degradation	Carassius auratus // Gallus gallus // Mesocricetus auratus // Xenopus laevis // Sceloporus jarrovii // Rattus norvegicus // Oryctolagus cuniculus // Oncorhynchus mykiss // Mus musculus // Homo sapiens // Anolis carolinensis	Vertebrata <vertebrates>
phloridzin biosynthesis	Malus domestica // Malus hupehensis // Malus pumila // Malus sp.	Viridiplantae
icosapentaenoate metabolites biosynthesis	Arabidopsis thaliana // Homo sapiens // Arabidopsis thaliana	Eukaryota
ubiquinol-9 biosynthesis (late decarboxylation)	Apinisia graminicola // Arachnomyces minimus // Arachnomyces peruvianus // Arachnotheca glomerata // Arthroderma borellii // Arthroderma curreyi // Arthroderma quadrifidum // Arthrodermataceae // Ascosphaera // Ascosphaera apis // Ascosphaera asterophora // Ascosphaera atra // Ascosphaera major // Ascosphaera proliperda // Caenorhabditis elegans // Cladophora // Ctenomyces serratus // Cyberlindnera jadinii // Lophophyton gallinae // Melampsora epitea // Microsporum canis // Mus musculus // Musca domestica // Nannizzia fulva // Nannizzia gypsea // Nannizzia incurvata // Nannizzia nana // Nannizzia persicolor // Nannizzia racemosa // Onygena corvina // Onygena equina // Paraphyton cookei // Pectinotrichum llanense // Penicillium malachiteum // Pieris rapae // Puccinia coronata f. sp. avenae // Pucciniastrum boehmeriae // Rattus // Rattus norvegicus // Sander vitreus // Shanorella spirotricha // Thermoascus // Thermoascus aurantiacus // Thermoascus crustaceus // Trichophyton benhamiae // Trichophyton mentagrophytes // Trichophyton simii // Uncinocarpus reesii // Yarrowia lipolytica // Arabidopsis thaliana	Eukaryota
melatonin degradation III	Oryctolagus cuniculus // Mus musculus // Rattus norvegicus // Homo sapiens	Vertebrata <vertebrates>
flavonoid di-C-glucosylation	Citrus clementina // Citrus hanaju // Citrus japonica // Citrus sinensis // Citrus trifoliata // Citrus unshiu	Magnoliopsida
lipid A-core biosynthesis (<i>P. gingivalis</i>)	Porphyromonas gingivalis	Porphyromonas gingivalis
representative whole plasma arachidonate-derived icosanoids II	Homo sapiens	Mammalia
ubiquinol-8 biosynthesis (early decarboxylation)	Acinetobacter calcoaceticus // Acinetobacter lwoffii // Aeromonas caviae // Aeromonas hydrophila // Allochromatium vinosum // Azotobacter chroococcum // Azotobacter vinelandii // Bordetella pertussis // Citrobacter freundii // Cupriavidus necator // Escherichia coli // Halorhodospira halophila // Klebsiella aerogenes // Neisseria meningitidis // Proteus mirabilis // Proteus vulgaris // Rubrivivax gelatinosus // Salinivibrio costicola // Serratia marcescens // Stenotrophomonas maltophilia // Xanthomonas citri // Xanthomonas oryzae	Bacteria <bacteria>
mannitol degradation I	Escherichia coli	Bacteria <bacteria> // Rhodophyta // Fungi
echinatin biosynthesis	Glycyrrhiza echinata	Fabaceae
